"0","1471833775.227009"," 33.694147","-117.8475850000"
"0","1471833775.227009"," 33.694147","-117.8475850000"
"0","1471833776.24794"," 33.694147","-117.8475850000"
"0","1471833776.24794"," 33.694147","-117.8475850000"
"0","1471833777.268625"," 33.694148","-117.8475850000"
"0","1471833777.268625"," 33.694148","-117.8475850000"
"0","1471833778.289494"," 33.694147","-117.8475850000"
"0","1471833778.289494"," 33.694147","-117.8475850000"
"0","1471833779.310399"," 33.694147","-117.8475800000"
"0","1471833779.310399"," 33.694147","-117.8475800000"
"0","1471833780.3316"," 33.694147","-117.8475766670"
"0","1471833780.3316"," 33.694147","-117.8475766670"
