"1470729150.736421"," 33.694447","-117.8478433330"
"1470729151.746498"," 33.694448","-117.8478433330"
"1470729152.761956"," 33.694450","-117.8478416670"
"1470729153.777667"," 33.694450","-117.8478416670"
"1470729154.793237"," 33.694450","-117.8478416670"
"1470729155.808196"," 33.694453","-117.8478383330"
"1470729156.823801"," 33.694455","-117.8478383330"
"1470729157.838922"," 33.694455","-117.8478366670"
"1470729158.853979"," 33.694457","-117.8478366670"
"1470729159.869136"," 33.694457","-117.8478366670"
"1470729160.884512"," 33.694458","-117.8478383330"
"1470729161.899752"," 33.694458","-117.8478383330"
"1470729162.915463"," 33.694458","-117.8478400000"
"1470729163.930653"," 33.694458","-117.8478416670"
"1470729164.945757"," 33.694457","-117.8478416670"
"1470729165.960792"," 33.694457","-117.8478416670"
"1470729166.975671"," 33.694457","-117.8478416670"
"1470729167.990681"," 33.694455","-117.8478416670"
"1470729169.006184"," 33.694455","-117.8478433330"
"1470729170.02189"," 33.694453","-117.8478433330"
"1470729171.036703"," 33.694453","-117.8478433330"
"1470729172.05252"," 33.694453","-117.8478450000"
"1470729173.069079"," 33.694452","-117.8478450000"
"1470729174.084132"," 33.694450","-117.8478466670"
"1470729175.099682"," 33.694450","-117.8478466670"
"1470729176.114707"," 33.694448","-117.8478466670"
"1470729177.129285"," 33.694448","-117.8478483330"
"1470729178.144334"," 33.694447","-117.8478483330"
"1470729179.159426"," 33.694447","-117.8478483330"
"1470729180.175049"," 33.694447","-117.8478483330"
